"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P22303",0.301792499130939,2.17621542745818e-125,1.39952414139835e-121,0.245866710885968,0.0122019466117016,2.70235986298115e-90,2.70235986298115e-90,95.6982094914597,-0.151853077790398,0.769304059145225,0,0.228887633287934,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q99536",-0.282973852864626,5.04747052510371e-106,1.6230141473471e-102,-0.247747250008351,0.0120772543048508,1.62986103371613e-93,1.62986103371613e-93,88.5927210460622,-0.533395898677761,0.0382711903507161,0,0.214963010186066,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q01995",0.207586559474666,2.03572487818527e-95,4.36391556386982e-92,0.208479960666248,0.010045376958302,1.13224175217386e-95,1.13224175217386e-95,81.7457304792942,0.0147481193662526,0.368651765762914,0,0.286514880965378,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9H4F8",0.135048039467092,1.20829112582515e-94,1.94263005754538e-91,0.129769026625613,0.00647463358649618,2.33819359030543e-89,2.33819359030543e-89,65.1443183516325,0.0667999878112248,0.184355654660121,0,0.266282007910612,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q2MKA7",0.200587072845564,9.06991416092999e-90,1.16657235937882e-86,0.197487759178478,0.00980346594478212,2.99593770032532e-90,2.99593770032532e-90,64.288270858297,0.0861952260795284,0.2985723217296,0,0.270134488385644,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9BU40",0.189392455787385,5.40422708638299e-83,5.79243073208816e-80,0.189654341365889,0.00960880181490752,1.02606884414997e-86,1.02606884414997e-86,73.2343393035617,0.0430140183026951,0.301532108279538,0,0.251043631126753,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P21246",0.213679215666053,2.86608318766186e-82,2.63311156855049e-79,0.212863563701961,0.010959416012825,4.94257221234873e-84,4.94257221234873e-84,84.8534373523547,-0.0134843503443256,0.410975860729305,0,0.24144978618661,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9UK05",0.182374443657045,3.01810607639406e-72,2.42618002216128e-69,0.0749645340634325,0.00754536519942845,2.92657577557332e-23,2.92657577557332e-23,94.8249795226223,-0.166837999646534,0.347155152272062,0,0.24590236211356,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P03973",0.113297589238941,1.74141164126009e-71,1.24433536277151e-68,0.110254242208821,0.00629140436512073,9.30199500500697e-69,9.30199500500697e-69,68.2105935241477,0.0358281635845613,0.170353097696609,0,0.273871314647333,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q8N6G6",0.159741674954774,4.99938766681664e-70,3.21510620852978e-67,0.141698576136998,0.00858869895261288,3.77626630195762e-61,3.77626630195762e-61,86.8510501905743,-0.0295669959566499,0.297578154975169,0,0.235235855192476,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9UQ80",-0.321108523705048,7.09123465220181e-70,4.14579364075544e-67,-0.163903547218286,0.0148883369364334,3.46376477019419e-28,3.46376477019419e-28,96.783457444572,-0.841046132911237,0.433994164615466,0,0.243810864768728,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9H5V8",0.225712463947652,8.93869758352625e-70,4.79039701330478e-67,0.210153292520837,0.0126317742912185,3.76753428975949e-62,3.76753428975949e-62,92.0026019718865,-0.107987044616659,0.493289735461161,0,0.271723347081215,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P48643",-0.413775545400868,5.02192533631699e-68,2.48430783368112e-65,-0.207324438214275,0.0195423561605274,2.70691949457712e-26,2.70691949457712e-26,96.491436369675,-1.18388551521346,0.602692539616059,0,0.217144572158199,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O76003",-0.334386475030363,5.90317542879528e-67,2.71166579875589e-64,-0.20725547329713,0.0171867314323379,1.73797921315948e-33,1.73797921315948e-33,96.7505441761772,-1.09561505035326,0.589199350419561,0,0.215297555561605,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9HBM1",0.27354273477085,6.33477046438127e-67,2.71592725709573e-64,0.247049377522637,0.0155525888873615,8.07871154826424e-57,8.07871154826424e-57,84.292444519122,-0.0622668388577801,0.578102778241305,0,0.241108734885699,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q96KN2",-0.345606888171334,2.67511013807828e-65,1.07522708112384e-62,-0.222442583719257,0.0153484385851905,1.34450933359907e-47,1.34450933359907e-47,91.1318392222253,-0.90915432092152,0.289286693314899,0,0.260106771091972,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O94813",0.18770621463705,1.46031267993397e-64,5.52427696744431e-62,0.176236524805198,0.0107727508314769,3.72336888358432e-60,3.72336888358432e-60,76.5288940335589,0.0189433325299706,0.327846111121252,0,0.223517078587559,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
