"protein","logFC_pooled","P.Value_pooled","adjP_pooled"
"Q53GG5",1.64638076336738,3.06312065851266e-30,1.96989289548949e-26
"P07451",1.29423039037042,2.15975989889761e-25,6.94470795490528e-22
"Q9Y235",1.22606508211858,3.25274068351299e-23,6.97279177855734e-20
"P54296",1.48060324849685,3.19183267872284e-22,5.13166898921665e-19
"P45379",1.0176361275438,2.13845976730681e-21,2.75048695271002e-18
"P48788",1.32387345776608,6.30600605280691e-21,6.75898748760021e-18
"Q96A32",1.26270568147111,1.46257441334474e-20,1.34368800746e-17
"P35609",1.48127672194905,5.30199115462065e-20,4.26213813942067e-17
"O60662",0.924965022926283,5.12256598171869e-19,3.66035798093699e-16
"Q00872",1.2008813481323,1.77126312094975e-18,1.13909931308278e-15
"O14558",0.70938089653331,2.09464103980763e-17,1.22460332063662e-14
"Q13508",-0.533810227444096,5.47320584787982e-16,2.93318223397626e-13
"P14649",0.570268111854769,7.68596829581087e-16,3.80218939310459e-13
"P06732",0.843958986444597,9.30767611600837e-13,4.23760315822894e-10
"P20807",0.653551790957575,9.88400674443075e-13,4.23760315822894e-10
"P12277|P06732",1.21692430650826,1.40756790062017e-12,5.6575432305552e-10
"P58335",-0.463606348937298,3.45981550064928e-12,1.30882785203974e-09
"Q8TE54",0.316205724255319,5.28339731803954e-12,1.88764045290624e-09
"P08590",0.840994754826727,1.01118921857589e-11,3.42260940245344e-09
"Q9HBL6",0.285123520644131,2.88177520983901e-11,9.26634818723735e-09
"Q68J44",0.472799317031154,2.75834741094007e-10,8.44711057131217e-08
"Q96B86",-0.24576075624101,5.19035927955741e-10,1.51723638758335e-07
"Q14324",0.470616119387057,1.09862510763557e-09,2.99121951338463e-07
"P50461",0.544171055151923,1.11630023824026e-09,2.99121951338463e-07
"P05452",-0.183772216469287,4.6111020361355e-09,1.1861598877755e-06
"P25189",-0.299389200883645,5.00133257526707e-09,1.23706037659779e-06
"Q9H6X2",-0.286771623281816,1.52761051443623e-08,3.63854193271828e-06
"Q8IVN3",0.450596346245337,2.4117063262757e-08,5.5391726372425e-06
