"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P51693",-0.372610006499506,2.30050250944618e-16,1.47945316382484e-12,-0.411584322321913,0.0483939926351512,1.81808705480226e-17,1.81808705480226e-17,0,-0.506434804954906,-0.31673383968892,0,0.593281118128424,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"O14594",-0.327440563303326,2.00609460725023e-15,6.45059720961312e-12,-0.344697087637578,0.04534008003191,2.90507103455073e-14,2.90507103455073e-14,0,-0.454821016914513,-0.233115750053282,0,0.51278542642272,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q5VWW1",-0.244076753930667,4.97523822096258e-14,1.06652523330035e-10,-0.253368999747079,0.0315453152292707,9.59700625880348e-16,9.59700625880348e-16,58.8309930095297,-0.416113790594698,-0.0780098255409715,0,0.530419575917783,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9BYH1",-0.166962575426785,2.49934163448868e-13,4.01831651284918e-10,-0.181834050590011,0.0234629259802083,9.20044436591255e-15,9.20044436591255e-15,0,-0.227820540483148,-0.135847560696873,0,0.653259089867624,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q8IZP7",-0.164799517717113,3.30219360896824e-13,4.24728141985495e-10,-0.18875319306082,0.0210211903463425,2.72775529818117e-19,2.72775529818117e-19,62.0574445838285,-0.300336037484266,-0.0340663464363313,0,0.600372757642403,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O95502",-0.288334136035254,1.73032303125244e-11,1.85461790233074e-08,-0.31404361307811,0.0464108377644775,1.31843172857163e-11,1.31843172857163e-11,10.8162538093339,-0.405143592776968,-0.222960200507215,0,0.577961213586876,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q8WXD2",-0.191100602828954,1.04465912412447e-10,9.59743261034919e-08,-0.201973435935631,0.0326035728825512,5.83497378493549e-10,5.83497378493549e-10,0,-0.265875264552758,-0.138071607318504,0,0.594415686146541,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q14DG7",-0.168446280521064,3.49662793826852e-10,2.81085178387561e-07,-0.18676674806833,0.0289354270508364,1.085016286098e-10,1.085016286098e-10,0,-0.243479142965255,-0.130054353171404,0,0.565770252761932,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q14C87",-0.195365374568848,6.37482352704337e-08,4.19095942971885e-05,-0.213037066781836,0.039053499227384,4.89712329904498e-08,4.89712329904498e-08,0,-0.289580518737771,-0.136493614825901,0,0.483931033517844,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"O60911",-0.186711667713547,6.84543412958502e-08,4.19095942971885e-05,-0.211646256880141,0.0335059864058463,2.67259545144892e-10,2.67259545144892e-10,85.8601391199782,-0.500140241442892,0.184524111873392,0,0.627618595629283,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Likely site-driven",NA
"P58335",-0.18656047709658,7.66834146115481e-08,4.19095942971885e-05,-0.210124629610592,0.0380067936405502,3.22783323707062e-08,3.22783323707062e-08,75.266186287131,-0.695304741615608,0.152810503659994,0,0.591597426243349,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q99536",-0.2507353824957,7.82016998237074e-08,4.19095942971885e-05,-0.268222038555121,0.0426410742915041,3.17001991806381e-10,3.17001991806381e-10,0,-0.351797008428566,-0.184647068681676,0,0.512624100653769,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P52823",0.152934486662926,1.5291731605604e-07,7.56470199658766e-05,0.173063113482998,0.0298739605349901,6.90951781439772e-09,6.90951781439772e-09,74.9752483637163,-0.0584706714146825,0.374339823000531,0,0.580995983749941,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9H5V8",0.245757243169967,3.03082496045595e-07,0.000139223109433516,0.231670651008841,0.048754675228199,2.01650871262569e-06,2.01650871262569e-06,91.3758468129026,-0.719744486668724,0.872908907320717,0.151910920232752,0.570364381290093,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O60909",-0.0875748907003655,5.60046646101999e-07,0.000240110665405464,-0.09691102742035,0.0171545159760228,1.61101385018939e-08,1.61101385018939e-08,0,-0.130533260905572,-0.0632887939351283,0,0.610839358029897,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P19957",0.241685812827201,6.91232209363006e-07,0.000277832146150843,0.259976801538696,0.047840148314342,5.50178699691789e-08,5.50178699691789e-08,76.7614311348819,-0.128452333199545,0.655176936991168,0,0.592868912007797,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P23468",-0.161996897579921,7.40286659670525e-07,0.00028004608872595,-0.176600246870051,0.0343933937637339,2.8257312030439e-07,2.8257312030439e-07,0,-0.244010059953074,-0.109190433787029,0,0.491190705613845,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q8IUL8",-0.17546302076965,8.08415227559758e-07,0.000288828796024267,-0.186600960117542,0.0393170605026124,2.07421589149675e-06,2.07421589149675e-06,0,-0.263660982680645,-0.109540937554439,0,0.539704151188135,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q96EE4",-0.131731253196645,1.34768968434101e-06,0.000456157492631421,-0.151973202354688,0.0295295451988606,2.65420294557676e-07,2.65420294557676e-07,0,-0.209850047424302,-0.094096357285073,0,0.551010273107984,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q99969",0.126002446266675,1.93263407676122e-06,0.00060825306484444,0.125054264572129,0.0306486519167112,4.49866425331371e-05,4.49866425331371e-05,73.9049669855335,-0.181527010535717,0.348560856181171,0,0.513568517766434,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P23515",-0.254557229188173,1.98620966595137e-06,0.00060825306484444,-0.279534069495603,0.0617214937000978,5.92752024225079e-06,5.92752024225079e-06,33.7204467808527,-0.545942777415753,-0.0611627996704165,0,0.588225239295942,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"P55774",0.160845281128675,2.24509258718052e-06,0.000656281383098088,0.171718715050363,0.0390072146151323,1.07144078968708e-05,1.07144078968708e-05,58.9954033444986,-0.101263674544382,0.381110107247199,0,0.473414987277758,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P52758",0.212306938861285,2.37529764376896e-06,0.00066415387595992,0.213725897860346,0.0477229071076194,7.51777931025013e-06,7.51777931025013e-06,42.6330962844596,-0.0132674293613188,0.415204515497013,0,0.520555395615726,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","RE PI spans 0 (magnitude)"
"P54764",-0.0965372181682519,2.49577666513004e-06,0.000668764155560469,-0.0994088037232895,0.0239678655768211,3.35998048827356e-05,3.35998048827356e-05,0,-0.146384957040156,-0.0524326504064228,0,0.510507118956147,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P01031",0.0776596940476366,2.67714320587131e-06,0.000688668318278337,0.0653057287627023,0.0235051093188525,0.0054633526961822,0.0054633526961822,0,0.0192365610450747,0.11137489648033,0,0.417322559761865,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q9BRK3",-0.116772662384583,3.15779696415588e-06,0.000781068933711019,-0.124899218152162,0.0273255646222755,4.85905926827071e-06,4.85905926827071e-06,77.0109637460505,-0.488332953259315,0.130146207307058,0,0.573744742321616,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O60760",-0.162064654419349,3.3503223881288e-06,0.000797997158446529,-0.18075471180105,0.0377910812649776,1.72698805440064e-06,1.72698805440064e-06,0,-0.273584683247847,-0.0836116159760352,0,0.594459003905323,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
