"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"Q8NBK3",0.35362916234433,8.58050197201499e-37,5.51812081820284e-33,0.316328077067591,0.0284324570379106,9.41726225024159e-29,9.41726225024159e-29,93.3520960238,-0.238292478889064,1.05888312295824,0,0.4621576897359,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9BW30",-0.191712193082721,3.12907136401305e-14,1.0061528970984e-10,-0.189638830551001,0.02447071401333,9.21651024915723e-15,9.21651024915723e-15,42.675960936871,-0.310730926923371,-0.0449123391086872,0,0.445543462327569,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"P06756|P05106",-0.220012729505969,1.1219181706682e-13,2.40501858518907e-10,-0.217588414082534,0.0286415593736297,3.03198187055131e-14,3.03198187055131e-14,32.769431147952,-0.354472921885267,-0.0964421989235456,0,0.453358513774686,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"P59282",-0.199555715518461,5.09895846145303e-13,8.1978504664011e-10,-0.191661672948147,0.0261912517075888,2.52117116754137e-13,2.52117116754137e-13,0,-0.242995583005044,-0.14032776289125,0,0.409822412049297,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P58335",-0.184237847893601,5.21670877924541e-12,6.70973083186545e-09,-0.184017236727965,0.0269581672689466,8.72971737896288e-12,8.72971737896288e-12,0,-0.236854273664307,-0.131180199791623,0,0.406514645938013,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q96B67",0.293761976946989,2.49521829062831e-11,2.67445813783844e-08,0.305668279771067,0.0410592048356098,9.72579061837461e-14,9.72579061837461e-14,57.364012356746,-0.0211822237192406,0.606737324071336,0,0.385528580940859,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P05452",-0.101170925819989,4.2669877717883e-11,3.92014262291008e-08,-0.0981592013610167,0.0145306304244207,1.42510669239007e-11,1.42510669239007e-11,3.52373433471951,-0.134295084406728,-0.0634020936631447,0,0.358535211757813,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q9H6X2",-0.162518705106734,4.91079573249717e-11,3.94766591946116e-08,-0.161750119785153,0.0239129666218522,1.34124056007488e-11,1.34124056007488e-11,0,-0.208618673127492,-0.114881566442815,0,0.429634216917031,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P19957",0.243509389785314,1.04061047310982e-10,7.4357399472992e-08,0.238864137036062,0.0370557533142332,1.14784449058674e-10,1.14784449058674e-10,58.8320218357477,-0.045070682178668,0.564100725453357,0,0.489472639968246,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q8NFY4",-0.108231358605125,3.10338496691813e-10,1.99578687222505e-07,-0.096716780540788,0.0172053103053506,1.89489493812442e-08,1.89489493812442e-08,70.9285997631213,-0.224791326388573,0.0418908661173805,0,0.371560013146724,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O60909",-0.0838586567862005,3.5092721476273e-10,2.0516481073992e-07,-0.081341609225152,0.013180770454687,6.77593623989696e-10,6.77593623989696e-10,10.5397866319041,-0.126545201940576,-0.0303607015051724,0,0.416816530308303,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"O60760",-0.165917209567001,7.4007661761045e-10,3.96619393987734e-07,-0.16330515216573,0.026547816495437,7.68217648926764e-10,7.68217648926764e-10,59.098833877843,-0.3159415759509,0.0327601259244047,0,0.414928888689724,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q16853",-0.120899065475867,1.22040066063015e-09,6.03722819116348e-07,-0.122640845420042,0.0190739569114582,1.27810855058242e-10,1.27810855058242e-10,29.6476488631616,-0.200924646692841,-0.0343514666295287,0,0.392902300065643,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"O60476",-0.0746941683947544,1.96233014911066e-09,9.01410370637904e-07,-0.0760294161443675,0.0112405750796753,1.3438439174822e-11,1.3438439174822e-11,0,-0.0980605384660496,-0.0539982938226854,0,0.465706169694999,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q09328",-0.0836369094794592,2.49821604133964e-09,1.07106849079035e-06,-0.0826248724420316,0.0134194307169531,7.40857398062302e-10,7.40857398062302e-10,0,-0.10892647334029,-0.0563232715437731,0,0.491717644900407,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q5DT21",-0.152340058552535,3.44776128889178e-09,1.38578455305394e-06,-0.147093769783562,0.0246328747658183,2.3516643734624e-09,2.3516643734624e-09,57.3009135358212,-0.289136771412662,0.00506231348749769,0,0.378676886140104,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O14960",-0.178318594590445,2.14391912830868e-08,8.11031994950182e-06,-0.181245003758917,0.0315971189006768,9.68675413018496e-09,9.68675413018496e-09,12.2495478659098,-0.243206658501585,-0.11927166007248,0,0.396589625373186,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
