"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"Q8NBK3",0.4399521289956,1.07366828950405e-39,6.90476076980052e-36,0.388225286078706,0.0389698525755657,2.23081215269553e-23,2.23081215269553e-23,95.5377860442495,-0.317897075884219,1.21106549398111,0,0.514969444907518,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P19957",0.479422003526988,9.01238155313638e-25,2.897931288411e-21,0.456620017682698,0.0525614923366932,3.70995685662269e-18,3.70995685662269e-18,0,0.353601385729102,0.559638649636295,0,0.5620963876681,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P05452",-0.180115673729201,2.86424807982803e-21,6.13999313379135e-18,-0.177450703699396,0.0209127456676854,2.15182110701195e-17,2.15182110701195e-17,0,-0.218438932025906,-0.136462475372887,0,0.455264947534826,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P22303",0.361844758890799,1.3486465088484e-20,2.16828642460101e-17,0.287178866816879,0.0426046942619935,1.57793420405335e-11,1.57793420405335e-11,90.8378211530581,-0.384748386577775,0.785359672788002,0,0.508430769398172,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P08697",-0.145679493229985,5.28460772988948e-15,6.79706246218384e-12,-0.12316354057807,0.0189209748753304,7.54689062742165e-11,7.54689062742165e-11,72.0314737340809,-0.258215788855435,0.00367513138763251,0,0.427979162776379,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q01995",0.284765629033518,6.5383393430085e-15,7.00801005248128e-12,0.265735615784405,0.0418113544275076,2.07634935296363e-10,2.07634935296363e-10,49.9115939258517,0.042941958034192,0.443553204358066,0,0.528552134643438,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"Q96B67",0.40894414524914,4.09389916599039e-14,3.76112364806917e-11,0.393695794739512,0.0595493827835372,3.81090960662951e-11,3.81090960662951e-11,83.4702312234952,-0.214307191516327,1.03949573978186,0,0.511929370642908,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P03952",-0.157272830765155,5.82419781889523e-14,4.6819270216644e-11,-0.134090839502376,0.0220906569523436,1.27890356433762e-09,1.27890356433762e-09,66.2438179831869,-0.268583629870309,0.0367992245495395,0,0.374780731934326,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O60760",-0.248624700489126,9.32041880626987e-14,6.65995703812462e-11,-0.262871551469554,0.0352808441752516,9.27552334504397e-14,9.27552334504397e-14,0,-0.332020735397217,-0.193722367541891,0,0.495576737399987,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q09328",-0.127113852575753,3.43220383442538e-13,2.04210520764985e-10,-0.120819629466527,0.0200019407825738,1.53737098471481e-09,1.53737098471481e-09,0,-0.160022713021274,-0.0816165459117791,0,0.507249776688547,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P10912",-0.263702335322014,3.49294935222334e-13,2.04210520764985e-10,-0.22631789311429,0.0392548150976846,8.14867672341117e-09,8.14867672341117e-09,74.5083386805899,-0.52350629273794,0.192326457398698,0,0.497739182554047,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9H4F8",0.168175504435623,5.3262649470221e-13,2.8544341561916e-10,0.161873425630339,0.0272331225262804,2.78165476454157e-09,2.78165476454157e-09,0,0.0849811907748674,0.229792720892876,0,0.59504519310007,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q2MKA7",0.252671139203628,1.35928579314412e-12,6.72428225823835e-10,0.216241246601962,0.0407585583654784,1.12414226333392e-07,1.12414226333392e-07,6.98084963527767,0.0673594041484825,0.347610079074673,0,0.494396977762937,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"O76076",0.223436099033995,2.87299869468635e-12,1.31973247182342e-09,0.21116970376682,0.0345067917290138,9.37774343335081e-10,9.37774343335081e-10,77.0346185907804,-0.116681217766515,0.498391698942018,0,0.505847302919097,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q01974",0.202959417509658,9.28474287965072e-12,3.98067876393559e-09,0.180360322005913,0.0352302084661463,3.06380439361931e-07,3.06380439361931e-07,0,0.111310382244429,0.249410261767398,0,0.525955436284789,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P58335",-0.223056794001363,1.50732363688401e-11,6.05849894300069e-09,-0.215571072403251,0.0351891405501626,9.00772483182505e-10,9.00772483182505e-10,0,-0.284540520528488,-0.146601624278015,0,0.566764733638394,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q9UBV8",0.157013813964322,2.75489569300635e-11,1.04216083539552e-08,0.165914310898457,0.0255402505117236,8.23798009660946e-11,8.23798009660946e-11,44.8659489108675,0.0387621870806028,0.289488051183985,0,0.444849389858918,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"P07288",0.521279070440691,4.02396927052423e-11,1.3759031476437e-08,0.536408905408645,0.0861504636982729,4.7721600850326e-10,4.7721600850326e-10,29.2030591791589,0.367538940551941,0.705275416950792,0,0.603645222413241,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q13093",0.219890981818028,4.06502251675171e-11,1.3759031476437e-08,0.199707938547165,0.0341296828579064,4.87322460469206e-09,4.87322460469206e-09,61.1501690199667,-0.0755309658374693,0.402052125645499,0,0.56109062986086,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"O15263",0.640690167177791,6.32065424121522e-11,2.03240637126275e-08,0.561110829633979,0.108708706200285,2.44848376335941e-07,2.44848376335941e-07,0,0.348045680675475,0.774175978592483,0,0.564409626172893,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P09972",-0.182955311340191,1.2446372442838e-10,3.7266818082296e-08,-0.175333360603644,0.0322208092203135,5.27985694388434e-08,5.27985694388434e-08,0,-0.238484986228195,-0.112181734979094,0,0.524504047517027,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"A6NH11",-0.159991350816187,1.32670837576952e-10,3.7266818082296e-08,-0.164799244637909,0.0270894105125282,1.17564823499814e-09,1.17564823499814e-09,67.2739672245795,-0.375608967002017,0.105358344754629,0,0.547621649531218,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P06756|P05106",-0.236457354819891,1.33282042589459e-10,3.7266818082296e-08,-0.236300511956416,0.0408897551065563,7.51610307280123e-09,7.51610307280123e-09,48.3446863614604,-0.429738296685944,0.00575595539364451,0,0.50545461956987,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","RE PI spans 0 (magnitude)"
"P10721",-0.199378079168056,4.0249706527573e-10,1.07852442782843e-07,-0.191534716346741,0.0351719452332819,5.161149125137e-08,5.161149125137e-08,52.5045633828824,-0.357251673064538,0.0137714520861379,0,0.465600709314513,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P01215|P0DN86|P0DN87",-0.73826451402109,4.81794819149753e-10,1.23936899278082e-07,-0.782589918064917,0.12221669766022,1.52056135455414e-10,1.52056135455414e-10,49.2090258070574,-1.40444519996136,-0.0726343333334518,0,0.516809826252046,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"P49223",0.356467277268879,5.27552937117998e-10,1.30488189946379e-07,0.356324765859638,0.0604220811948899,3.69585656579717e-09,3.69585656579717e-09,29.0378787364996,0.198603513569676,0.501924613457778,0,0.492661024902381,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"P41222",0.188847220641949,6.98451326834071e-10,1.66360758624811e-07,0.164119708225484,0.0351432449038162,3.01168257499239e-06,3.01168257499239e-06,36.2346681613364,0.00596943787624235,0.31912036129882,0,0.434141407611692,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"P03951",-0.150151791833052,1.04613937814083e-09,2.4027579788656e-07,-0.141068240471291,0.025547627550099,3.35592855381528e-08,3.35592855381528e-08,73.0034473817137,-0.320189727523185,0.0811669506575308,0,0.447219279021805,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P52848",-0.0896351661141889,1.16790182572482e-09,2.58992297973666e-07,-0.0920557132643132,0.0159656325640034,8.12391288504949e-09,8.12391288504949e-09,0,-0.12334777808016,-0.0607636484484667,0,0.485905620734933,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q13790",0.293640986659119,1.71178793451181e-09,3.66950273561515e-07,0.258408654521778,0.0541077897856832,1.78983174975685e-06,1.78983174975685e-06,47.6930435868199,0.030760631348505,0.451828937500523,0,0.521759954244093,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
"P26992",0.124716877981263,1.83153381008143e-09,3.75531273220537e-07,0.107174578884974,0.023366823008349,4.50494187233868e-06,4.50494187233868e-06,0,0.0523372793962252,0.159371986203237,0,0.503063248137717,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
"Q12913",-0.100573473926138,1.86860530913655e-09,3.75531273220537e-07,-0.0829397648185309,0.0181438049348375,4.84836654335201e-06,4.84836654335201e-06,57.5942572755956,-0.171941837689642,0.042415367490844,0,0.516626762879753,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"P00505",-0.366588735771919,2.1235040462722e-09,4.05695207674904e-07,-0.342663651117975,0.0613138874364077,2.2880310683275e-08,2.2880310683275e-08,0,-0.469299312728093,-0.213336327895002,0,0.529706461182074,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"High-confidence (meta, concordant)",NA
